Tayal 2007			// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-11
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
9-27	0.092	0.084	0.076	0.069	0.064	0.054	0.047	0.038	0.033	0.029	0.020
9-28	0.153	0.140	0.127	0.116	0.107	0.090	0.079	0.064	0.055	0.049	0.035
9-29	0.021	0.017	0.015	0.014	0.013	0.011	0.010	0.008	0.006	0.006	0.004
9-30	0.268	0.284	0.293	0.300	0.306	0.318	0.328	0.343	0.355	0.364	0.392
9-31	0.158	0.169	0.175	0.179	0.183	0.190	0.196	0.206	0.213	0.218	0.236
9-32	0.033	0.031	0.030	0.028	0.026	0.023	0.021	0.017	0.015	0.013	0.009
9-33	0.097	0.096	0.094	0.091	0.088	0.082	0.078	0.073	0.070	0.069	0.069
9-34	0.104	0.098	0.094	0.091	0.089	0.086	0.084	0.080	0.078	0.076	0.070
9-35	0.334	0.338	0.346	0.355	0.363	0.379	0.393	0.417	0.439	0.460	0.558
10-11	0.021	0.031	0.038	0.041	0.043	0.043	0.041	0.036	0.031	0.027	0.018
10-12	0.040	0.056	0.065	0.070	0.073	0.072	0.068	0.059	0.051	0.045	0.029
10-13	0.042	0.049	0.055	0.058	0.060	0.059	0.056	0.049	0.043	0.038	0.025
10-14	0.075	0.071	0.074	0.076	0.076	0.073	0.068	0.058	0.051	0.045	0.030
10-15	0.085	0.092	0.101	0.107	0.109	0.106	0.100	0.087	0.076	0.068	0.046
10-16	0.256	0.269	0.277	0.282	0.285	0.292	0.296	0.304	0.310	0.315	0.332
10-17	0.042	0.040	0.037	0.035	0.032	0.027	0.023	0.018	0.015	0.012	0.008
10-18	0.025	0.020	0.017	0.015	0.014	0.011	0.010	0.008	0.007	0.006	0.004
10-19	0.044	0.034	0.029	0.026	0.023	0.019	0.016	0.013	0.011	0.010	0.007
10-20	0.044	0.035	0.030	0.026	0.024	0.020	0.017	0.014	0.012	0.010	0.007
10-21	0.027	0.022	0.019	0.017	0.016	0.013	0.012	0.009	0.008	0.007	0.004
10-22	0.179	0.207	0.217	0.219	0.218	0.208	0.195	0.173	0.155	0.141	0.100
10-23	0.677	0.711	0.715	0.711	0.704	0.685	0.666	0.634	0.610	0.591	0.535
10-24	0.010	0.010	0.010	0.009	0.009	0.007	0.007	0.006	0.005	0.004	0.003
