Tayal & Gupta 1999		// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-9
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
4-9	2.52	2.73	2.79	2.73	2.55	2.38	2.12	1.81
4-10	2.45e-1	2.51e-1	2.51e-1	2.41e-1	2.27e-1	2.13e-1	1.89e-1	1.59e-1
4-11	7.33e-1	7.52e-1	7.53e-1	7.24e-1	6.80e-1	6.38e-1	5.68e-1	4.78e-1
4-12	1.22	1.25	1.25	1.20	1.13	1.06	9.47e-1	7.96e-1
4-13	3.29	3.23	3.20	3.03	2.88	2.79	2.78	2.81
4-14	1.58	1.65	1.67	1.62	1.52	1.43	1.29	1.11
4-15	2.26	2.35	2.36	2.27	2.13	2.00	1.81	1.55
4-16	2.99	3.08	3.08	2.94	2.75	2.58	2.32	1.99
4-17	4.35	4.28	4.25	4.15	4.13	4.14	4.21	4.47
4-18	3.96e-1	3.38e-1	3.11e-1	2.31e-1	1.92e-1	1.69e-1	1.43e-1	1.18e-1
4-19	4.01e-1	3.57e-1	3.35e-1	2.63e-1	2.22e-1	1.95e-1	1.61e-1	1.24e-1
4-20	1.20	1.07	1.01	7.89e-1	6.66e-1	5.85e-1	4.82e-1	3.72e-1
4-21	2.01	1.79	1.68	1.31	1.11	9.75e-1	8.03e-1	6.20e-1
4-22	2.51e-1	2.28e-1	2.16e-1	1.80e-1	1.60e-1	1.46e-1	1.27e-1	1.06e-1
4-23	7.50e-1	6.82e-1	6.47e-1	5.39e-1	4.78e-1	4.36e-1	3.81e-1	3.18e-1
4-24	1.22	1.11	1.05	8.80e-1	7.82e-1	7.16e-1	6.27e-1	5.24e-1
4-25	9.84e-1	8.36e-1	7.70e-1	5.93e-1	5.12e-1	4.64e-1	4.06e-1	3.43e-1
4-26	1.59	1.36	1.25	9.71e-1	8.41e-1	7.63e-1	6.69e-1	5.68e-1
4-27	2.20	1.88	1.74	1.35	1.17	1.06	9.33e-1	7.92e-1
4-28	2.78	2.66	2.58	2.22	1.94	1.72	1.70	1.72
4-29	7.46	7.57	7.64	7.96	8.28	8.59	9.20	10.4
4-30	8.56	7.86	7.62	7.42	7.69	8.06	8.80	10.1
4-31	8.31e-1	8.37e-1	8.41e-1	8.63e-1	8.87e-1	9.07e-1	9.40e-1	9.85e-1
4-32	8.64e-1	8.30e-1	8.06e-1	7.07e-1	6.31e-1	5.70e-1	4.85e-1	3.94e-1
4-33	2.54e-1	2.44e-1	2.37e-1	2.05e-1	1.78e-1	1.57e-1	1.26e-1	9.14e-2
4-34	4.28e-1	4.09e-1	3.96e-1	3.41e-1	2.96e-1	2.60e-1	2.09e-1	1.51e-1
4-35	6.15e-1	5.80e-1	5.58e-1	4.76e-1	4.12e-1	3.61e-1	2.89e-1	2.09e-1
4-36	1.02e-1	8.74e-2	8.14e-2	6.44e-2	5.45e-2	4.77e-2	3.87e-2	2.91e-2
4-37	2.97e-1	2.56e-1	2.39e-1	1.90e-1	1.61e-1	1.41e-1	1.15e-1	8.63e-2
4-38	4.55e-1	3.98e-1	3.73e-1	3.02e-1	2.58e-1	2.27e-1	1.85e-1	1.40e-1
4-39	2.22e-1	2.22e-1	2.20e-1	1.96e-1	1.70e-1	1.48e-1	1.18e-1	8.49e-2
4-40	1.82	1.79	1.77	1.69	1.60	1.54	1.47	1.45
4-41	1.19e-1	1.20e-1	1.20e-1	1.15e-1	1.07e-1	9.92e-2	8.91e-2	7.92e-2
4-42	1.61e-1	1.37e-1	1.22e-1	1.96e-1	2.08e-1	2.21e-1	2.47e-1	2.98e-1
4-43	7.17e-3	5.96e-3	5.30e-3	9.71e-3	9.82e-3	9.84e-3	9.78e-3	9.54e-3
4-44	1.19e-2	9.86e-3	8.74e-3	1.62e-2	1.64e-2	1.64e-2	1.63e-2	1.59e-2
4-45	1.65e-2	1.36e-2	1.20e-2	2.28e-2	2.30e-2	2.30e-2	2.29e-2	2.23e-2
4-46	3.17e-3	2.47e-3	2.14e-3	3.92e-3	3.85e-3	3.80e-3	3.71e-3	3.56e-3
4-47	9.51e-3	7.46e-3	6.47e-3	1.17e-2	1.15e-2	1.14e-2	1.11e-2	1.07e-2
4-48	1.59e-2	1.26e-2	1.10e-2	1.95e-2	1.92e-2	1.90e-2	1.85e-2	1.78e-2
4-49	0	0	0	6.47e-2	6.47e-2	6.47e-2	6.47e-2	6.47e-2
5-7	1.59e-1	1.52e-1	1.48e-1	1.32e-1	1.18e-1	1.07e-1	8.99e-2	6.90e-2
5-8	2.67e-1	2.54e-1	2.48e-1	2.20e-1	1.97e-1	1.78e-1	1.50e-1	1.15e-1
5-9	3.79e-1	3.59e-1	3.49e-1	3.09e-1	2.76e-1	2.50e-1	2.10e-1	1.61e-1
5-10	1.41e-1	1.60e-1	1.66e-1	1.64e-1	1.53e-1	1.42e-1	1.26e-1	1.05e-1
5-11	4.23e-1	4.81e-1	4.97e-1	4.92e-1	4.58e-1	4.26e-1	3.77e-1	3.16e-1
5-12	7.03e-1	8.00e-1	8.26e-1	8.20e-1	7.64e-1	7.10e-1	6.28e-1	5.26e-1
5-13	4.62e-1	4.50e-1	4.44e-1	4.06e-1	3.69e-1	3.37e-1	2.92e-1	2.37e-1
5-14	2.41e-1	2.59e-1	2.66e-1	2.70e-1	2.55e-1	2.39e-1	2.12e-1	1.74e-1
5-15	3.44e-1	3.68e-1	3.77e-1	3.80e-1	3.58e-1	3.36e-1	2.97e-1	2.44e-1
5-16	4.56e-1	4.83e-1	4.94e-1	4.93e-1	4.64e-1	4.33e-1	3.82e-1	3.14e-1
5-17	3.41e-1	3.61e-1	3.68e-1	3.63e-1	3.46e-1	3.32e-1	3.30e-1	3.31e-1
5-19	1.51e-1	1.31e-1	1.20e-1	8.73e-2	7.18e-2	6.26e-2	5.19e-2	4.11e-2
5-20	4.56e-1	3.94e-1	3.60e-1	2.62e-1	2.15e-1	1.88e-1	1.56e-1	1.23e-1
5-21	7.62e-1	6.57e-1	6.01e-1	4.37e-1	3.59e-1	3.13e-1	2.59e-1	2.06e-1
5-22	6.53e-2	6.77e-2	6.76e-2	6.34e-2	5.92e-2	5.58e-2	5.09e-2	4.45e-2
5-23	1.96e-1	2.03e-1	2.03e-1	1.90e-1	1.78e-1	1.67e-1	1.53e-1	1.33e-1
5-24	3.38e-1	3.47e-1	3.45e-1	3.20e-1	2.97e-1	2.80e-1	2.54e-1	2.22e-1
5-25	1.72e-1	1.67e-1	1.63e-1	1.46e-1	1.31e-1	1.21e-1	1.05e-1	8.62e-2
5-26	2.85e-1	2.77e-1	2.71e-1	2.42e-1	2.18e-1	2.01e-1	1.75e-1	1.43e-1
5-27	3.98e-1	3.88e-1	3.79e-1	3.38e-1	3.06e-1	2.80e-1	2.44e-1	2.00e-1
